id,created_at,text
1065803385486503937,Fri Nov 23 03:05:03 +0000 2018,"""ミニアプリ構築サービス「Anybot」運営のエボラニがLINEなどから7000万円を調達"" https://t.co/qwkBWwz569 #tech #feedly"
1065538996921671681,Thu Nov 22 09:34:28 +0000 2018,エボラニ、7000万円調達：日本経済新聞 https://t.co/Xp5j3snuWb
1065250383885291520,Wed Nov 21 14:27:37 +0000 2018,2件のコメント https://t.co/sjGYlXHq7S “ミニアプリ構築サービス「Anybot」運営のエボラニがLINEなどから7000万円を調達 | TechCrunch Japan” https://t.co/fkZz92ykZL
1065074672713093121,Wed Nov 21 02:49:24 +0000 2018,ちょっとこの先の動きが気になる。 / ミニアプリ構築サービス「Anybot」運営のエボラニがLINEなどから7000万円を調達 (TechCrunch Japan) #NewsPicks https://t.co/rXOqqNfoH1
1065060912762097665,Wed Nov 21 01:54:44 +0000 2018,ミニアプリ構築サービス「Anybot」運営のエボラニがLINEなどから7000万円を調達 | TechCrunch Japan https://t.co/FJMKUDu6Id
1065001977980116994,Tue Nov 20 22:00:32 +0000 2018,Wechat上のミニアプリは、世界の勢力図を変える可能性を秘めてますよね。　ミニアプリ構築サービス「Anybot」運営のエボラニがLINEなどから7000万円を調達  |   https://t.co/ZM2644d0Hj
1064713316365361152,Tue Nov 20 02:53:30 +0000 2018,ミニアプリ構築サービス「Anybot」運営のエボラニがLINEなどから7000万円を調達  |  TechCrunch Japan https://t.co/EgFoa0l06J @jptechcrunchさんから
1064690367998521345,Tue Nov 20 01:22:19 +0000 2018,「システム開発のエボラニ（東京・渋谷）は19日、LINEベンチャーズなどから約7000万円の資金を調達したと発表した。対話アプリ内でのアプリのように利用できる「ミニアプリ」と呼ばれる機能の開発を手掛けている。今後、LINEのサービス向上などの分野で業務提携を進めたい考えだ。」
1064690366341771265,Tue Nov 20 01:22:18 +0000 2018,エボラニ、LINE系などから7000万円調達: 日本経済新聞 https://t.co/cF6hReqxPh
1064690057192206336,Tue Nov 20 01:21:05 +0000 2018,ミニアプリ構築サービス「Anybot」運営のエボラニがLINEなどから7000万円を調達 #SmartNews  https://t.co/xx7fuFSOV9
1064688931231264769,Tue Nov 20 01:16:36 +0000 2018,ミニアプリ構築サービス「Anybot」運営のエボラニがLINEなどから7000万円を調達  |  TechCrunch Japan https://t.co/VH8Tfddbr4 @jptechcrunchさんから
1064670368269426689,Tue Nov 20 00:02:51 +0000 2018,ミニアプリ構築サービス「Anybot」運営のエボラニがLINEなどから7000万円を調達 | TechCrunch Japan https://t.co/rge8FMFraz https://t.co/dNVPQIaejG
1064625973138616320,Mon Nov 19 21:06:26 +0000 2018,ミニアプリ構築サービス「Anybot」運営のエボラニがLINEなどから7000万円を調達 | TechCrunch Japan https://t.co/okiNNnOya0
1064563958357549056,Mon Nov 19 17:00:00 +0000 2018,Mini-app development service Anybot operator #Evolany raises ¥70m (~$530k) from #VentureCapital arm of… https://t.co/MffeVX5ZFk
1064547161499684864,Mon Nov 19 15:53:16 +0000 2018,ミニアプリ構築サービス「Anybot」運営のエボラニがLINEなどから7000万円を調達 | TechCrunch Japan https://t.co/CGCtlF3Z68
1064528602497134593,Mon Nov 19 14:39:31 +0000 2018,ミニアプリ構築サービス「Anybot」運営のエボラニがLINEなどから7000万円を調達 – TechCrunch Japan https://t.co/w49U5ek51c
1064525773699051521,Mon Nov 19 14:28:17 +0000 2018,なるほど🤔🤔🤔ミニアプリ構築サービス「Anybot」運営のエボラニがLINEなどから7000万円を調達 – TechCrunch Japan https://t.co/Pcv0AsusZG
1064520116891615233,Mon Nov 19 14:05:48 +0000 2018,良さそう / 他1コメント https://t.co/lFiwJf2d8r “ミニアプリ構築サービス「Anybot」運営のエボラニがLINEなどから7000万円を調達 | TechCrunch Japan” https://t.co/WNkGAXGG7L
1064519988617216001,Mon Nov 19 14:05:17 +0000 2018,ミニアプリ構築サービス「Anybot」運営のエボラニがLINEなどから7000万円を調達  |  TechCrunch Japan https://t.co/MVM10xkhfv @jptechcrunchさんから
1064517502179270656,Mon Nov 19 13:55:24 +0000 2018,おもしろい。：ミニアプリ構築サービス「Anybot」運営のエボラニがLINEなどから7000万円を調達 – TechCrunch Japan https://t.co/IGnYGi0JeM
1064516072387145728,Mon Nov 19 13:49:44 +0000 2018,ぉお！ミニアプリ構築サービス「Anybot」運営のエボラニがLINEなどから7000万円を調達  |  TechCrunch Japan https://t.co/9laWKN1atL
1064507204735102977,Mon Nov 19 13:14:29 +0000 2018,4 / “ミニアプリ構築サービス「Anybot」運営のエボラニがLINEなどから7000万円を調達 | TechCrunch Japan” https://t.co/mJzuub51Ed
1064505965871980545,Mon Nov 19 13:09:34 +0000 2018,ミニアプリ構築サービス「Anybot」運営のエボラニがLINEなどから7000万円を調達 – TechCrunch Japan https://t.co/iDCv2PzOFsアイカサは自社でLINEの中に傘を借りれるミニアプリ… https://t.co/XjWdn5skgy
1064501611098071042,Mon Nov 19 12:52:16 +0000 2018,ミニアプリ構築サービス「Anybot」を運営するエボラニは11月19日、LINE Ventures、D4V、有安伸宏氏などから合計で約7000万円の第三者割当増資を実施したと発表。中国のWechat上には1000万以上の企業ア… https://t.co/FSUQasOxrL
1064497635891994625,Mon Nov 19 12:36:28 +0000 2018,Wechatミニアプリ！ミニアプリ構築サービス「Anybot」運営のエボラニがLINEなどから7000万円を調達 – TechCrunch Japan https://t.co/42fc0qqxU1
1064490285059604480,Mon Nov 19 12:07:15 +0000 2018,ミニアプリ構築サービス「Anybot」運営のエボラニがLINEなどから7000万円を調達 (TechCrunch Japan) #NewsPicks https://t.co/0uDsZMHzew
1064474999015141376,Mon Nov 19 11:06:31 +0000 2018,"""ミニアプリ構築サービス「Anybot」運営のエボラニがLINEなどから7000万円を調達"" https://t.co/8cykbwdY8u"
1064469949341564928,Mon Nov 19 10:46:27 +0000 2018,ミニアプリ構築サービス「Anybot」運営のエボラニがLINEなどから7000万円を調達  |  TechCrunch Japan https://t.co/e7XIrlKZik via @jptechcrunch
1064466562759806977,Mon Nov 19 10:33:00 +0000 2018,ミニアプリ構築サービス「Anybot」運営のエボラニがLINEなどから7000万円を調達  |  TechCrunch Japan https://t.co/OR0h1vNMOz via @jptechcrunch
1064462159520747520,Mon Nov 19 10:15:30 +0000 2018,ミニアプリ構築サービス「Anybot」運営のエボラニがLINEなどから7000万円を調達 – TechCrunch Japan https://t.co/grRtQ8OQoJ
1064461315777818624,Mon Nov 19 10:12:09 +0000 2018,ちょびっとエンジェル投資しました！記事中では名前割愛されてるけど笑。→ ミニアプリ構築サービス「Anybot」運営のエボラニがLINEなどから7000万円を調達 TechCrunch Japan https://t.co/V13or4BWtI via @jptechcrunch
1064456129365884928,Mon Nov 19 09:51:32 +0000 2018,ミニアプリ構築サービス「Anybot」運営のエボラニがLINEなどから7000万円を調達 https://t.co/CPDd3gBMHE https://t.co/wZYbbQC1ta
1064450757808742400,Mon Nov 19 09:30:11 +0000 2018,ミニアプリ構築サービス「Anybot」運営のエボラニがLINEなどから7000万円を調達 – TechCrunch Japan https://t.co/emJu7acb4P
1064450565957050368,Mon Nov 19 09:29:26 +0000 2018,ミニアプリ構築サービス「Anybot」運営のエボラニがLINEなどから7000万円を調達 https://t.co/NONvVpMTec @Inoreaderから
1064446274471047169,Mon Nov 19 09:12:22 +0000 2018,[日本経済新聞] エボラニ、LINE系などから7000万円調達 https://t.co/IMv4jMzBrl
1064440781275045889,Mon Nov 19 08:50:33 +0000 2018,ミニアプリ構築サービス「Anybot」運営のエボラニがLINEなどから7000万円を調達 https://t.co/UYilkF3KCn
1064438982837059585,Mon Nov 19 08:43:24 +0000 2018,ミニアプリ構築サービス「Anybot」運営のエボラニがLINEなどから7000万円を調達 https://t.co/eVNKx8PzSJ
1064434526410010624,Mon Nov 19 08:25:41 +0000 2018,ミニアプリ構築サービス「Anybot」運営のエボラニがLINEなどから7000万円を調達 – TechCrunch Japan https://t.co/GavwGRUYIt
1064432797610176512,Mon Nov 19 08:18:49 +0000 2018,» ミニアプリ構築サービス「Anybot」運営のエボラニがLINEなどから7000万円を調達 | TechCrunch Japan https://t.co/WTy9KpnVhk
1064432083110629376,Mon Nov 19 08:15:59 +0000 2018,ミニアプリ構築サービス「Anybot」運営のエボラニがLINEなどから7000万円を調達 https://t.co/aPxsvUneSh
1064432078916333568,Mon Nov 19 08:15:58 +0000 2018,ミニアプリ構築サービス「Anybot」運営のエボラニがLINEなどから7000万円を調達 https://t.co/cuVfsVzmiO
1064432074713694209,Mon Nov 19 08:15:57 +0000 2018,ミニアプリ構築サービス「Anybot」運営のエボラニがLINEなどから7000万円を調達 https://t.co/YcVKLe5wKQ
