<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDJPY,D,20000103,00:00:00,102.1500000,102.2100000,101.3600000,101.4800000,0
USDJPY,D,20000104,00:00:00,101.4500000,103.3200000,101.4500000,103.2500000,0
USDJPY,D,20000105,00:00:00,103.2500000,104.4800000,102.8300000,104.3000000,0
USDJPY,D,20000106,00:00:00,104.1900000,105.5600000,103.9200000,105.2600000,0
USDJPY,D,20000107,00:00:00,105.1700000,105.8900000,104.9000000,105.3100000,0
USDJPY,D,20000110,00:00:00,105.1200000,105.5500000,104.3700000,105.0600000,0
USDJPY,D,20000111,00:00:00,105.0100000,106.3100000,105.0100000,105.9300000,0
USDJPY,D,20000112,00:00:00,105.9500000,106.3600000,105.5500000,105.9000000,0
USDJPY,D,20000113,00:00:00,105.8200000,106.2300000,105.4500000,106.0600000,0
USDJPY,D,20000114,00:00:00,106.1000000,106.5900000,105.4900000,105.8500000,0
USDJPY,D,20000117,00:00:00,105.8300000,105.8800000,104.6400000,104.8700000,0
USDJPY,D,20000118,00:00:00,104.8300000,105.7400000,104.2900000,105.6900000,0
USDJPY,D,20000119,00:00:00,105.6700000,106.0900000,105.1800000,105.2800000,0
USDJPY,D,20000120,00:00:00,105.2700000,105.7100000,105.1600000,105.3900000,0
USDJPY,D,20000121,00:00:00,105.4100000,105.5200000,104.4500000,104.7600000,0
USDJPY,D,20000124,00:00:00,105.2400000,105.8500000,104.5300000,105.5700000,0
USDJPY,D,20000125,00:00:00,105.5800000,106.0400000,105.5300000,106.0000000,0
USDJPY,D,20000126,00:00:00,106.0200000,106.3000000,105.3000000,105.6200000,0
USDJPY,D,20000127,00:00:00,105.6100000,105.9000000,104.6900000,105.1100000,0
USDJPY,D,20000128,00:00:00,105.0100000,107.2500000,104.5800000,107.0700000,0
USDJPY,D,20000131,00:00:00,107.0600000,107.5200000,106.6200000,107.3300000,0
USDJPY,D,20000201,00:00:00,107.3500000,107.9200000,107.0600000,107.8600000,0
USDJPY,D,20000202,00:00:00,107.8700000,109.0500000,107.6100000,108.1200000,0
USDJPY,D,20000203,00:00:00,108.0700000,108.7700000,107.1500000,107.5000000,0
USDJPY,D,20000204,00:00:00,107.5700000,108.0300000,107.0700000,107.1600000,0
USDJPY,D,20000207,00:00:00,107.3400000,108.8200000,107.2300000,108.6100000,0
USDJPY,D,20000208,00:00:00,108.5900000,109.6800000,108.5900000,109.4700000,0
USDJPY,D,20000209,00:00:00,109.4500000,109.7500000,108.5600000,108.8200000,0
USDJPY,D,20000210,00:00:00,108.7500000,109.2600000,108.3000000,109.1700000,0
USDJPY,D,20000211,00:00:00,109.1600000,109.7500000,108.6900000,108.7900000,0
USDJPY,D,20000214,00:00:00,109.0400000,109.0500000,108.0700000,108.9000000,0
USDJPY,D,20000215,00:00:00,108.9300000,109.3200000,108.4800000,109.1500000,0
USDJPY,D,20000216,00:00:00,109.2000000,109.6500000,108.9100000,109.4400000,0
USDJPY,D,20000217,00:00:00,109.4400000,110.6600000,109.2000000,110.5000000,0
USDJPY,D,20000218,00:00:00,110.5200000,111.2500000,110.3000000,110.8900000,0
USDJPY,D,20000221,00:00:00,110.9100000,111.4500000,110.3900000,111.2500000,0
USDJPY,D,20000222,00:00:00,111.2200000,111.7300000,110.5800000,110.8200000,0
USDJPY,D,20000223,00:00:00,110.7700000,111.3400000,110.1200000,111.1300000,0
USDJPY,D,20000224,00:00:00,111.1100000,111.5400000,110.5800000,111.3200000,0
USDJPY,D,20000225,00:00:00,111.2700000,111.4600000,110.1400000,110.1500000,0
USDJPY,D,20000228,00:00:00,108.9200000,110.4000000,108.3500000,109.5000000,0
USDJPY,D,20000229,00:00:00,109.5000000,110.4200000,109.3400000,110.1600000,0
USDJPY,D,20000301,00:00:00,110.2300000,110.3100000,106.5800000,107.2100000,0
USDJPY,D,20000302,00:00:00,107.2000000,107.9500000,106.5900000,107.7600000,0
USDJPY,D,20000303,00:00:00,107.8700000,108.0400000,107.3400000,107.7200000,0
USDJPY,D,20000306,00:00:00,107.8600000,107.9200000,106.7500000,107.5400000,0
USDJPY,D,20000307,00:00:00,107.5300000,108.1300000,105.8100000,106.1700000,0
USDJPY,D,20000308,00:00:00,106.2000000,107.4800000,106.0300000,107.1700000,0
USDJPY,D,20000309,00:00:00,107.1500000,107.5500000,106.1900000,106.6000000,0
USDJPY,D,20000310,00:00:00,106.5800000,106.7400000,106.0800000,106.3400000,0
USDJPY,D,20000313,00:00:00,106.3000000,106.5900000,104.8200000,105.5000000,0
USDJPY,D,20000314,00:00:00,105.5300000,105.9100000,104.6300000,105.2000000,0
USDJPY,D,20000315,00:00:00,105.1700000,106.2000000,104.7700000,105.6600000,0
USDJPY,D,20000316,00:00:00,105.6400000,105.7900000,105.1200000,105.4600000,0
USDJPY,D,20000317,00:00:00,105.4500000,106.7900000,105.3500000,106.6900000,0
USDJPY,D,20000320,00:00:00,106.8500000,107.0800000,106.2800000,106.3700000,0
USDJPY,D,20000321,00:00:00,106.3300000,107.2000000,106.1900000,106.7400000,0
