<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDJPY,W,20001002,00:00:00,108.1300000,109.6000000,108.0800000,108.7600000,0
USDJPY,W,20001009,00:00:00,108.8800000,109.1200000,107.3600000,107.8300000,0
USDJPY,W,20001016,00:00:00,107.6700000,109.1700000,107.4300000,108.8800000,0
USDJPY,W,20001023,00:00:00,108.9000000,109.0400000,107.6300000,108.6000000,0
USDJPY,W,20001030,00:00:00,108.6400000,109.3000000,106.8300000,106.9500000,0
USDJPY,W,20001106,00:00:00,107.2100000,107.9800000,106.9000000,107.8600000,0
USDJPY,W,20001113,00:00:00,107.9400000,109.1200000,107.4100000,108.7900000,0
USDJPY,W,20001120,00:00:00,108.8000000,111.4300000,108.7200000,111.2500000,0
USDJPY,W,20001127,00:00:00,111.1600000,112.0300000,109.8200000,111.1700000,0
USDJPY,W,20001204,00:00:00,111.3600000,111.4500000,110.1700000,110.9700000,0
USDJPY,W,20001211,00:00:00,111.3700000,112.8300000,110.5500000,112.5700000,0
USDJPY,W,20001218,00:00:00,112.5200000,113.1500000,111.8200000,112.8400000,0
USDJPY,W,20001225,00:00:00,112.8400000,115.0800000,112.7200000,114.3200000,0
USDJPY,W,20010101,00:00:00,114.4100000,116.8800000,113.6000000,116.5200000,0
USDJPY,W,20010108,00:00:00,116.5600000,118.5400000,115.6500000,118.4300000,0
USDJPY,W,20010115,00:00:00,118.4100000,119.8700000,116.9300000,117.1300000,0
USDJPY,W,20010122,00:00:00,117.0500000,118.4500000,116.1600000,117.2500000,0
USDJPY,W,20010129,00:00:00,117.5000000,117.7400000,114.9500000,115.6300000,0
USDJPY,W,20010205,00:00:00,115.6400000,117.7500000,114.3600000,117.4800000,0
USDJPY,W,20010212,00:00:00,114.6500000,117.9400000,114.5800000,115.8000000,0
USDJPY,W,20010219,00:00:00,115.8000000,117.2100000,115.2400000,115.8500000,0
USDJPY,W,20010226,00:00:00,115.9000000,119.3900000,115.8200000,119.0200000,0
USDJPY,W,20010305,00:00:00,119.2700000,120.4000000,118.2900000,119.8400000,0
USDJPY,W,20010312,00:00:00,120.0800000,123.2400000,119.2700000,122.9600000,0
USDJPY,W,20010319,00:00:00,122.9600000,124.4200000,121.9600000,122.7200000,0
USDJPY,W,20010326,00:00:00,123.0100000,126.3700000,121.4200000,126.3300000,0
USDJPY,W,20010402,00:00:00,126.3200000,126.9000000,123.9300000,123.9500000,0
USDJPY,W,20010409,00:00:00,124.9100000,125.5400000,122.9800000,124.1900000,0
USDJPY,W,20010416,00:00:00,124.6600000,125.0200000,120.9300000,122.4300000,0
USDJPY,W,20010423,00:00:00,121.9000000,124.4100000,121.1600000,124.1000000,0
USDJPY,W,20010430,00:00:00,121.4800000,124.2000000,120.6300000,121.3800000,0
USDJPY,W,20010507,00:00:00,121.3000000,122.9100000,120.8500000,122.4300000,0
USDJPY,W,20010514,00:00:00,122.5200000,124.1300000,122.4800000,123.5800000,0
USDJPY,W,20010521,00:00:00,123.7000000,123.8000000,118.9300000,120.7000000,0
USDJPY,W,20010528,00:00:00,121.0400000,121.4500000,118.3300000,119.3000000,0
USDJPY,W,20010604,00:00:00,119.1400000,121.0200000,118.7400000,120.9200000,0
USDJPY,W,20010611,00:00:00,120.8800000,123.2900000,120.8800000,122.9800000,0
USDJPY,W,20010618,00:00:00,123.0900000,124.7900000,122.5800000,124.5500000,0
USDJPY,W,20010625,00:00:00,124.3200000,125.0600000,123.3100000,124.6400000,0
USDJPY,W,20010702,00:00:00,124.7700000,126.1400000,123.7800000,125.9200000,0
USDJPY,W,20010709,00:00:00,125.5500000,125.9600000,123.5300000,124.9900000,0
USDJPY,W,20010716,00:00:00,124.6700000,125.6000000,122.6800000,122.9700000,0
USDJPY,W,20010723,00:00:00,123.0700000,124.4900000,123.0700000,123.5600000,0
USDJPY,W,20010730,00:00:00,123.2900000,125.4200000,123.2200000,123.8900000,0
USDJPY,W,20010806,00:00:00,124.1000000,124.2300000,121.3800000,122.6200000,0
USDJPY,W,20010813,00:00:00,122.0100000,123.2200000,119.0800000,120.2900000,0
USDJPY,W,20010820,00:00:00,120.3300000,120.9200000,119.4600000,120.0900000,0
USDJPY,W,20010827,00:00:00,120.1600000,120.8800000,118.4700000,118.8400000,0
USDJPY,W,20010903,00:00:00,119.0600000,121.6000000,118.5500000,120.1100000,0
USDJPY,W,20010910,00:00:00,120.1600000,122.1500000,116.8700000,117.4000000,0
USDJPY,W,20010917,00:00:00,117.5700000,118.4000000,115.7500000,116.7000000,0
USDJPY,W,20010924,00:00:00,116.5400000,120.1000000,116.4300000,119.5800000,0
USDJPY,W,20011001,00:00:00,119.4500000,121.5700000,119.3300000,120.4700000,0
USDJPY,W,20011008,00:00:00,120.3100000,121.8200000,119.6000000,121.1300000,0
USDJPY,W,20011015,00:00:00,121.1300000,121.9400000,120.4200000,121.2700000,0
USDJPY,W,20011022,00:00:00,121.6100000,123.4300000,121.4400000,122.6500000,0
USDJPY,W,20011029,00:00:00,122.1900000,122.6700000,121.3300000,121.6200000,0
USDJPY,W,20011105,00:00:00,121.6700000,122.1700000,119.7500000,120.4300000,0
USDJPY,W,20011112,00:00:00,120.7000000,122.9900000,119.7000000,122.9900000,0
USDJPY,W,20011119,00:00:00,122.8200000,124.5400000,122.5400000,124.2300000,0
USDJPY,W,20011126,00:00:00,124.3500000,124.5800000,122.7800000,123.5000000,0
USDJPY,W,20011203,00:00:00,123.3500000,125.8100000,123.2400000,125.6600000,0
USDJPY,W,20011210,00:00:00,125.5300000,127.9900000,125.4700000,127.3200000,0
USDJPY,W,20011217,00:00:00,127.3400000,129.7700000,127.3400000,129.6000000,0
USDJPY,W,20011224,00:00:00,129.5100000,132.1000000,129.2700000,131.0700000,0
USDJPY,W,20011231,00:00:00,131.1100000,132.3200000,130.6000000,130.9400000,0
USDJPY,W,20020107,00:00:00,131.0100000,133.3700000,130.3500000,131.8800000,0
USDJPY,W,20020114,00:00:00,131.9400000,133.0100000,130.8500000,132.7500000,0
USDJPY,W,20020121,00:00:00,132.2800000,134.8800000,132.2400000,134.4400000,0
USDJPY,W,20020128,00:00:00,133.8100000,135.0100000,132.3200000,133.8000000,0
USDJPY,W,20020204,00:00:00,134.3000000,135.0200000,131.9700000,134.7700000,0
USDJPY,W,20020211,00:00:00,134.9200000,135.1000000,131.9400000,132.6700000,0
USDJPY,W,20020218,00:00:00,132.7000000,134.5500000,132.4500000,134.1000000,0
USDJPY,W,20020225,00:00:00,134.0800000,135.0100000,133.0500000,133.1500000,0
USDJPY,W,20020304,00:00:00,132.8100000,132.8800000,127.3000000,128.0200000,0
USDJPY,W,20020311,00:00:00,129.1100000,129.6600000,127.7400000,129.1400000,0
USDJPY,W,20020318,00:00:00,130.2600000,132.9900000,130.2100000,132.7700000,0
USDJPY,W,20020325,00:00:00,133.0200000,133.5400000,132.1900000,132.7700000,0
USDJPY,W,20020401,00:00:00,132.7300000,133.6000000,131.2900000,131.6600000,0
USDJPY,W,20020408,00:00:00,131.6600000,132.2600000,130.2700000,132.0600000,0
USDJPY,W,20020415,00:00:00,131.7800000,131.8100000,129.6500000,130.4600000,0
USDJPY,W,20020422,00:00:00,130.1500000,130.4500000,127.8300000,127.9300000,0
USDJPY,W,20020429,00:00:00,127.9200000,128.6600000,126.8600000,128.3300000,0
USDJPY,W,20020506,00:00:00,127.2800000,129.0800000,126.7400000,128.5400000,0
USDJPY,W,20020513,00:00:00,127.3500000,128.8200000,125.5400000,126.0000000,0
USDJPY,W,20020520,00:00:00,126.0800000,126.2300000,123.5000000,124.7400000,0
USDJPY,W,20020527,00:00:00,124.8900000,125.1100000,122.7800000,124.4000000,0
USDJPY,W,20020603,00:00:00,124.2800000,125.1100000,123.2400000,124.4400000,0
USDJPY,W,20020610,00:00:00,124.3800000,125.9900000,123.9400000,124.2100000,0
USDJPY,W,20020617,00:00:00,124.2100000,124.9000000,120.8500000,121.4500000,0
USDJPY,W,20020624,00:00:00,121.8900000,122.0300000,118.3200000,119.5200000,0
USDJPY,W,20020701,00:00:00,119.5200000,120.8300000,119.2200000,120.4200000,0
USDJPY,W,20020708,00:00:00,120.0100000,120.4200000,116.4300000,116.9000000,0
USDJPY,W,20020715,00:00:00,116.2800000,117.3900000,115.4600000,115.8100000,0
USDJPY,W,20020722,00:00:00,116.1700000,119.1000000,115.8600000,118.8800000,0
USDJPY,W,20020729,00:00:00,118.9600000,120.4200000,118.4700000,118.9700000,0
USDJPY,W,20020805,00:00:00,119.4600000,121.2600000,118.7800000,120.4000000,0
USDJPY,W,20020812,00:00:00,120.0000000,120.0300000,116.2800000,117.5500000,0
USDJPY,W,20020819,00:00:00,117.9300000,120.3200000,117.7200000,119.5800000,0
USDJPY,W,20020826,00:00:00,119.6700000,119.9900000,117.4900000,118.3500000,0
USDJPY,W,20020902,00:00:00,118.5700000,118.9400000,116.8800000,118.5500000,0
USDJPY,W,20020909,00:00:00,118.3300000,122.3200000,118.2200000,121.7700000,0
USDJPY,W,20020916,00:00:00,122.0200000,123.7800000,120.8900000,123.2600000,0
USDJPY,W,20020923,00:00:00,123.2100000,124.0300000,121.8700000,122.5700000,0
USDJPY,W,20020930,00:00:00,122.5700000,123.4000000,121.1000000,123.0800000,0
USDJPY,W,20021007,00:00:00,123.7300000,124.6700000,123.1000000,124.0500000,0
USDJPY,W,20021014,00:00:00,123.8200000,125.6100000,123.7500000,125.5200000,0
USDJPY,W,20021021,00:00:00,125.0300000,125.4900000,123.5900000,124.3400000,0
USDJPY,W,20021028,00:00:00,124.2300000,125.0400000,121.5800000,122.3100000,0
USDJPY,W,20021104,00:00:00,122.1900000,122.7200000,119.5000000,119.8400000,0
USDJPY,W,20021111,00:00:00,119.9100000,120.9300000,119.0400000,120.4800000,0
USDJPY,W,20021118,00:00:00,120.9800000,123.0200000,120.7800000,122.9500000,0
USDJPY,W,20021125,00:00:00,122.6400000,123.1500000,121.3000000,122.5900000,0
USDJPY,W,20021202,00:00:00,123.4300000,125.7200000,122.1000000,123.7800000,0
USDJPY,W,20021209,00:00:00,122.5700000,123.9300000,120.2900000,120.5500000,0
USDJPY,W,20021216,00:00:00,120.5600000,121.5100000,120.1900000,120.3900000,0
USDJPY,W,20021223,00:00:00,120.2800000,120.8200000,119.7500000,119.8900000,0
USDJPY,W,20021230,00:00:00,119.9000000,120.1500000,118.2800000,119.7600000,0
USDJPY,W,20030106,00:00:00,119.8900000,120.4800000,118.5500000,119.2000000,0
USDJPY,W,20030113,00:00:00,119.2500000,119.5300000,117.4000000,117.6900000,0
USDJPY,W,20030120,00:00:00,118.2500000,119.2000000,117.6100000,117.9400000,0
USDJPY,W,20030127,00:00:00,117.9400000,120.1300000,117.4800000,119.9100000,0
USDJPY,W,20030203,00:00:00,119.7800000,120.9400000,119.0100000,120.2200000,0
USDJPY,W,20030210,00:00:00,120.3800000,121.8100000,120.0900000,120.3000000,0
USDJPY,W,20030217,00:00:00,120.4700000,120.8700000,118.0600000,118.6100000,0
USDJPY,W,20030224,00:00:00,118.7300000,118.9200000,116.7800000,118.1100000,0
USDJPY,W,20030303,00:00:00,118.2100000,118.3500000,116.3300000,117.0500000,0
USDJPY,W,20030310,00:00:00,116.6700000,118.8300000,116.3500000,118.2300000,0
USDJPY,W,20030317,00:00:00,118.1300000,121.9200000,117.5200000,121.6300000,0
USDJPY,W,20030324,00:00:00,121.0900000,121.3700000,119.4300000,119.8200000,0
USDJPY,W,20030331,00:00:00,119.8200000,120.2500000,117.6000000,119.9400000,0
USDJPY,W,20030407,00:00:00,120.3500000,120.9600000,119.1100000,120.5500000,0
USDJPY,W,20030414,00:00:00,120.4800000,120.9000000,118.8800000,119.7800000,0
USDJPY,W,20030421,00:00:00,119.6500000,121.2100000,119.3000000,120.2100000,0
USDJPY,W,20030428,00:00:00,120.2000000,120.7900000,118.1200000,119.0900000,0
USDJPY,W,20030505,00:00:00,119.0000000,119.1600000,115.9500000,117.4400000,0
USDJPY,W,20030512,00:00:00,117.2600000,117.5800000,115.2600000,116.0900000,0
USDJPY,W,20030519,00:00:00,115.4600000,117.8600000,115.0200000,116.9700000,0
USDJPY,W,20030526,00:00:00,116.7400000,119.6900000,116.1500000,119.3400000,0
USDJPY,W,20030602,00:00:00,119.5800000,119.7100000,117.3000000,118.6900000,0
USDJPY,W,20030609,00:00:00,118.7300000,118.8600000,117.1500000,117.5000000,0
USDJPY,W,20030616,00:00:00,117.3700000,119.1600000,117.1300000,118.4400000,0
USDJPY,W,20030623,00:00:00,118.5200000,120.0700000,117.2900000,119.5900000,0
USDJPY,W,20030630,00:00:00,119.6000000,120.3000000,117.8200000,118.1500000,0
USDJPY,W,20030707,00:00:00,118.0500000,118.7700000,117.3400000,117.8900000,0
USDJPY,W,20030714,00:00:00,117.7400000,119.3300000,116.6200000,118.5200000,0
USDJPY,W,20030721,00:00:00,118.5700000,119.4600000,118.2100000,118.8700000,0
USDJPY,W,20030728,00:00:00,118.9500000,120.7700000,118.8400000,120.2000000,0
