<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDJPY,D,19821101,00:00:00,276.9000000,276.9000000,276.9000000,276.9000000,0
USDJPY,D,19821103,00:00:00,276.5200000,276.5200000,276.5200000,276.5200000,0
USDJPY,D,19821104,00:00:00,277.6500000,277.6500000,277.6500000,277.6500000,0
USDJPY,D,19821105,00:00:00,275.8000000,275.8000000,275.8000000,275.8000000,0
USDJPY,D,19821108,00:00:00,276.0000000,276.0000000,276.0000000,276.0000000,0
USDJPY,D,19821109,00:00:00,271.1500000,271.1500000,271.1500000,271.1500000,0
USDJPY,D,19821110,00:00:00,268.1000000,268.1000000,268.1000000,268.1000000,0
USDJPY,D,19821112,00:00:00,268.5000000,268.5000000,268.5000000,268.5000000,0
USDJPY,D,19821115,00:00:00,267.3500000,267.3500000,267.3500000,267.3500000,0
USDJPY,D,19821116,00:00:00,263.7000000,263.7000000,263.7000000,263.7000000,0
USDJPY,D,19821117,00:00:00,263.3000000,263.3000000,263.3000000,263.3000000,0
USDJPY,D,19821118,00:00:00,262.7000000,262.7000000,262.7000000,262.7000000,0
USDJPY,D,19821119,00:00:00,257.8500000,257.8500000,257.8500000,257.8500000,0
USDJPY,D,19821122,00:00:00,254.6500000,254.6500000,254.6500000,254.6500000,0
USDJPY,D,19821123,00:00:00,257.0500000,257.0500000,257.0500000,257.0500000,0
USDJPY,D,19821124,00:00:00,250.7000000,250.7000000,250.7000000,250.7000000,0
USDJPY,D,19821126,00:00:00,250.2000000,250.2000000,250.2000000,250.2000000,0
USDJPY,D,19821129,00:00:00,250.3500000,250.3500000,250.3500000,250.3500000,0
USDJPY,D,19821130,00:00:00,249.2000000,249.2000000,249.2000000,249.2000000,0
USDJPY,D,19821201,00:00:00,248.6000000,248.6000000,248.6000000,248.6000000,0
USDJPY,D,19821202,00:00:00,248.1000000,248.1000000,248.1000000,248.1000000,0
USDJPY,D,19821203,00:00:00,246.6000000,246.6000000,246.6000000,246.6000000,0
USDJPY,D,19821206,00:00:00,245.1000000,245.1000000,245.1000000,245.1000000,0
USDJPY,D,19821207,00:00:00,242.7500000,242.7500000,242.7500000,242.7500000,0
USDJPY,D,19821208,00:00:00,242.1500000,242.1500000,242.1500000,242.1500000,0
USDJPY,D,19821209,00:00:00,245.7000000,245.7000000,245.7000000,245.7000000,0
USDJPY,D,19821210,00:00:00,244.2500000,244.2500000,244.2500000,244.2500000,0
USDJPY,D,19821213,00:00:00,247.3000000,247.3000000,247.3000000,247.3000000,0
USDJPY,D,19821214,00:00:00,244.3000000,244.3000000,244.3000000,244.3000000,0
USDJPY,D,19821215,00:00:00,244.9500000,244.9500000,244.9500000,244.9500000,0
USDJPY,D,19821216,00:00:00,243.3000000,243.3000000,243.3000000,243.3000000,0
USDJPY,D,19821217,00:00:00,244.1500000,244.1500000,244.1500000,244.1500000,0
USDJPY,D,19821220,00:00:00,244.4500000,244.4500000,244.4500000,244.4500000,0
USDJPY,D,19821221,00:00:00,242.1000000,242.1000000,242.1000000,242.1000000,0
USDJPY,D,19821222,00:00:00,240.5000000,240.5000000,240.5000000,240.5000000,0
USDJPY,D,19821223,00:00:00,238.1000000,238.1000000,238.1000000,238.1000000,0
USDJPY,D,19821224,00:00:00,238.1000000,238.1000000,238.1000000,238.1000000,0
USDJPY,D,19821227,00:00:00,237.5000000,237.5000000,237.5000000,237.5000000,0
USDJPY,D,19821228,00:00:00,234.6500000,234.6500000,234.6500000,234.6500000,0
USDJPY,D,19821229,00:00:00,232.8000000,232.8000000,232.8000000,232.8000000,0
USDJPY,D,19821230,00:00:00,234.5000000,234.5000000,234.5000000,234.5000000,0
USDJPY,D,19821231,00:00:00,234.7000000,234.7000000,234.7000000,234.7000000,0
USDJPY,D,19830103,00:00:00,232.0000000,232.0000000,232.0000000,232.0000000,0
USDJPY,D,19830104,00:00:00,229.8000000,229.8000000,229.8000000,229.8000000,0
USDJPY,D,19830105,00:00:00,229.1000000,229.1000000,229.1000000,229.1000000,0
USDJPY,D,19830106,00:00:00,229.8000000,229.8000000,229.8000000,229.8000000,0
USDJPY,D,19830107,00:00:00,229.1000000,229.1000000,229.1000000,229.1000000,0
USDJPY,D,19830110,00:00:00,226.7500000,226.7500000,226.7500000,226.7500000,0
USDJPY,D,19830111,00:00:00,228.8000000,228.8000000,228.8000000,228.8000000,0
USDJPY,D,19830112,00:00:00,230.5500000,230.5500000,230.5500000,230.5500000,0
USDJPY,D,19830113,00:00:00,229.1000000,229.1000000,229.1000000,229.1000000,0
USDJPY,D,19830114,00:00:00,230.5000000,230.5000000,230.5000000,230.5000000,0
USDJPY,D,19830117,00:00:00,229.6000000,229.6000000,229.6000000,229.6000000,0
USDJPY,D,19830118,00:00:00,232.1500000,232.1500000,232.1500000,232.1500000,0
USDJPY,D,19830119,00:00:00,234.9500000,234.9500000,234.9500000,234.9500000,0
USDJPY,D,19830120,00:00:00,235.3000000,235.3000000,235.3000000,235.3000000,0
USDJPY,D,19830121,00:00:00,236.3500000,236.3500000,236.3500000,236.3500000,0
USDJPY,D,19830124,00:00:00,240.2000000,240.2000000,240.2000000,240.2000000,0
USDJPY,D,19830125,00:00:00,235.8500000,235.8500000,235.8500000,235.8500000,0
USDJPY,D,19830126,00:00:00,235.3500000,235.3500000,235.3500000,235.3500000,0
USDJPY,D,19830127,00:00:00,235.8500000,235.8500000,235.8500000,235.8500000,0
USDJPY,D,19830128,00:00:00,236.4000000,236.4000000,236.4000000,236.4000000,0
USDJPY,D,19830131,00:00:00,239.8500000,239.8500000,239.8500000,239.8500000,0
USDJPY,D,19830201,00:00:00,239.4000000,239.4000000,239.4000000,239.4000000,0
USDJPY,D,19830202,00:00:00,242.2000000,242.2000000,242.2000000,242.2000000,0
USDJPY,D,19830203,00:00:00,238.8500000,238.8500000,238.8500000,238.8500000,0
USDJPY,D,19830204,00:00:00,240.3000000,240.3000000,240.3000000,240.3000000,0
USDJPY,D,19830207,00:00:00,237.4500000,237.4500000,237.4500000,237.4500000,0
USDJPY,D,19830208,00:00:00,237.4500000,237.4500000,237.4500000,237.4500000,0
USDJPY,D,19830209,00:00:00,236.6000000,236.6000000,236.6000000,236.6000000,0
USDJPY,D,19830210,00:00:00,235.1000000,235.1000000,235.1000000,235.1000000,0
USDJPY,D,19830211,00:00:00,234.7000000,234.7000000,234.7000000,234.7000000,0
USDJPY,D,19830214,00:00:00,234.8000000,234.8000000,234.8000000,234.8000000,0
USDJPY,D,19830215,00:00:00,234.1000000,234.1000000,234.1000000,234.1000000,0
USDJPY,D,19830216,00:00:00,232.6000000,232.6000000,232.6000000,232.6000000,0
USDJPY,D,19830217,00:00:00,233.2000000,233.2000000,233.2000000,233.2000000,0
USDJPY,D,19830218,00:00:00,233.6000000,233.6000000,233.6000000,233.6000000,0
USDJPY,D,19830222,00:00:00,233.8000000,233.8000000,233.8000000,233.8000000,0
USDJPY,D,19830223,00:00:00,235.0500000,235.0500000,235.0500000,235.0500000,0
USDJPY,D,19830224,00:00:00,234.2000000,234.2000000,234.2000000,234.2000000,0
USDJPY,D,19830225,00:00:00,235.0500000,235.0500000,235.0500000,235.0500000,0
USDJPY,D,19830228,00:00:00,237.8500000,237.8500000,237.8500000,237.8500000,0
USDJPY,D,19830301,00:00:00,239.0000000,239.0000000,239.0000000,239.0000000,0
USDJPY,D,19830302,00:00:00,237.3000000,237.3000000,237.3000000,237.3000000,0
USDJPY,D,19830303,00:00:00,236.4000000,236.4000000,236.4000000,236.4000000,0
USDJPY,D,19830304,00:00:00,235.8000000,235.8000000,235.8000000,235.8000000,0
USDJPY,D,19830307,00:00:00,235.7000000,235.7000000,235.7000000,235.7000000,0
USDJPY,D,19830308,00:00:00,238.7000000,238.7000000,238.7000000,238.7000000,0
USDJPY,D,19830309,00:00:00,237.7000000,237.7000000,237.7000000,237.7000000,0
USDJPY,D,19830310,00:00:00,237.0500000,237.0500000,237.0500000,237.0500000,0
USDJPY,D,19830311,00:00:00,238.4500000,238.4500000,238.4500000,238.4500000,0
USDJPY,D,19830314,00:00:00,237.5000000,237.5000000,237.5000000,237.5000000,0
USDJPY,D,19830315,00:00:00,237.2500000,237.2500000,237.2500000,237.2500000,0
USDJPY,D,19830316,00:00:00,237.2500000,237.2500000,237.2500000,237.2500000,0
USDJPY,D,19830317,00:00:00,239.1000000,239.1000000,239.1000000,239.1000000,0
USDJPY,D,19830318,00:00:00,240.3000000,240.3000000,240.3000000,240.3000000,0
USDJPY,D,19830321,00:00:00,240.8500000,240.8500000,240.8500000,240.8500000,0
USDJPY,D,19830322,00:00:00,239.4000000,239.4000000,239.4000000,239.4000000,0
USDJPY,D,19830323,00:00:00,238.8000000,238.8000000,238.8000000,238.8000000,0
USDJPY,D,19830324,00:00:00,237.2500000,237.2500000,237.2500000,237.2500000,0
USDJPY,D,19830325,00:00:00,237.1000000,237.1000000,237.1000000,237.1000000,0
USDJPY,D,19830328,00:00:00,240.1000000,240.1000000,240.1000000,240.1000000,0
USDJPY,D,19830329,00:00:00,240.0500000,240.0500000,240.0500000,240.0500000,0
