id,created_at,text
1134083365328576512,Thu May 30 13:05:19 +0000 2019,1円美品☆シャネル☆キャビアスキン　カメリア　ラウンド長財布　ピンク　G金具【CHANEL】 https://t.co/CGr7a5ldNV https://t.co/LpGN2fdcG4
1134081402029219840,Thu May 30 12:57:31 +0000 2019,同じ舞浜のS.E.A.会員でも、ハイタワー三世の性悪な感じとは違って、カメリアは善良そうなイメージで良かったわ〜。でもなぜ舞浜のS.E.A.はとちらも死んだ後の姿でゲストの前に現れるのか。
1134079700634984454,Thu May 30 12:50:45 +0000 2019,カメリアさん、初期S.E.A.の方の会員なのね。じゃあなぜトロピカルハイドウェイに名前が？謎は深まるばかり……🤔
1134079074215780354,Thu May 30 12:48:16 +0000 2019,@id_lick カメリア固定なのね笑笑
1134078752395124736,Thu May 30 12:46:59 +0000 2019,@sazanka_nana じゃあカメリア
1134077550848663552,Thu May 30 12:42:12 +0000 2019,ドールを購入してみましょう。あなたのカメリアライフに華を添えてくれます。あなたの発言で言葉を覚えていきます。嬉しい時などにはダンスを披露してくれますよ！
1134074561064865793,Thu May 30 12:30:20 +0000 2019,カメリア俺に惚れてるだろ(笑)
1134070803488600064,Thu May 30 12:15:24 +0000 2019,カメリア好きになったら是非ナイトミュージアム2のアメリアさんを見て欲しい…！（ディズニー関係ない😅
1134069854745419786,Thu May 30 12:11:38 +0000 2019,@kawaiitarako カメリアでも10年前やぞ…オイオイオイ
1134067925264953344,Thu May 30 12:03:58 +0000 2019,ローレル：カメリアの買い物メモ「・なんか野菜・肉、豚かなんか・なんか果物、安いもの・漬物かなんか・食べ物・タマゴ、ベコーン」間違ってる上に分からない
1134067563107737600,Thu May 30 12:02:31 +0000 2019,カメリア！超お嬢！大騒ぎ！ハッ！
1134067145384402946,Thu May 30 12:00:52 +0000 2019,"りょうかさん＊由乃さん＊はるのさん＊ハイロさん＊カメリアさん＊フジさん＊わおさん＊汐十さん＊鳶さん＊流星さん＊ひろさん＊トキさん＊蓮さんRTにご協力いただきありがとうございます！！(⋆ᵕᴗᵕ⋆)""♡"
1134065258564280322,Thu May 30 11:53:22 +0000 2019,今日の最後はluzくんのカメリアコンプレックスいかないでってとこ好きすぎ無理おやすみ https://t.co/1nLsNMr2ti
1134063820677103616,Thu May 30 11:47:39 +0000 2019,私は坂道も48も聴くけど、それぞれ良いところがあるんだよ！っていう！くらべるのではなく、それぞれの良さに気付いたら、ハマるぜ！っていう！最近ハロプロでは、つばきファクトリー推しインディーズ時代から見てたけど、うるわしのカメリアのパフォーマンス見てヤラレタ
1134060967929626624,Thu May 30 11:36:19 +0000 2019,明日5/31(金)の #HS空き枠情報 をご案内😊https://t.co/MDMhJNS1gu      🍀現在のプレミアムオイルはリリーローズ・カメリア馬油！🍓限定ストロベリーショコラ✌️友キャン延長!!📲Web予約… https://t.co/s84Wl7qTn6
1134051306753077249,Thu May 30 10:57:55 +0000 2019,東方諸国出身って本当モル？どっちかっていうとカメリアっぽい気がするモル分かってると思うけど赤っぽいじゃなくてバカっぽいって意味モルよ
1134049968287698944,Thu May 30 10:52:36 +0000 2019,耳寄り情報です。韓国人、在韓日本人の方へ。カメリアで福岡に行くには日本のサイトから予約した方が安いです。８月に金曜日出発の日曜日帰る船で５０００円で予約出来ました。次に高いのでも会員になれば８０００円程度です。
1134049350089203714,Thu May 30 10:50:09 +0000 2019,3柘榴さんとカメリアたんれでぃー、ふぁいっ柘榴&amp;カメリア)俺ら戦ったら街1個消えるよ？？
1134049348264742912,Thu May 30 10:50:08 +0000 2019,2七彗と柘榴さんとカメリアたんもやしトリオもっと食えやゴラそして柘榴さん血吸いなさいよあんた吸血鬼でしょうが柘榴)あっ忘れてた★(・ω&lt;) ﾃﾍﾍﾟﾛ
1134048359566651392,Thu May 30 10:46:13 +0000 2019,あかジェネとゆずっとないとサファリあついねーサイレンカメリアはガチャだしあかりは初？じゅりもなかなかよきのノーマルっぽいのが残念スミレはカジュゴスっぽくてよいぞ https://t.co/ZrRgbOZQAI
1134047923723915265,Thu May 30 10:44:29 +0000 2019,せらは私を良く気にかけてくれる・・・カメリアとはちょっと違う形で私と通じてる・・・
